State,Date,Doses
Haryana,11/03/2021,461696
Haryana,12/03/2021,501916
Haryana,13/03/2021,520425
Haryana,14/03/2021,522363
Haryana,15/03/2021,522778
Haryana,16/03/2021,748896
Haryana,17/03/2021,763095
Himachal Pradesh,16/01/2021,1517
Himachal Pradesh,18/01/2021,4817
Himachal Pradesh,19/01/2021,5049
Himachal Pradesh,20/01/2021,5094
Himachal Pradesh,21/01/2021,5790
Himachal Pradesh,22/01/2021,9609
Himachal Pradesh,23/01/2021,13544
Himachal Pradesh,24/01/2021,13544
Himachal Pradesh,25/01/2021,13544
Himachal Pradesh,26/01/2021,13544
Himachal Pradesh,27/01/2021,14054
Himachal Pradesh,28/01/2021,18848
Himachal Pradesh,29/01/2021,22918
Himachal Pradesh,30/01/2021,27734
Himachal Pradesh,31/01/2021,27734
Himachal Pradesh,01/02/2021,33434
Himachal Pradesh,02/02/2021,39570
Himachal Pradesh,03/02/2021,43926
Himachal Pradesh,04/02/2021,48360
Himachal Pradesh,05/02/2021,51555
Himachal Pradesh,06/02/2021,54573
Himachal Pradesh,07/02/2021,54573
Himachal Pradesh,08/02/2021,58031
Himachal Pradesh,09/02/2021,61271
Himachal Pradesh,10/02/2021,66101
Himachal Pradesh,11/02/2021,72191
Himachal Pradesh,12/02/2021,79166
Himachal Pradesh,13/02/2021,81957
Himachal Pradesh,14/02/2021,81957
Himachal Pradesh,15/02/2021,84294
Himachal Pradesh,16/02/2021,87132
